Week,economics
2010-10-23,52
2010-10-30,51
2010-11-06,55
2010-11-13,52
2010-11-20,53
2010-11-27,38
2010-12-04,52
2010-12-11,55
2010-12-18,47
2010-12-25,27
2011-01-01,23
2011-01-08,44
2011-01-15,45
2011-01-22,49
2011-01-29,51
2011-02-05,49
2011-02-12,52
2011-02-19,50
2011-02-26,46
2011-03-05,48
2011-03-12,47
2011-03-19,42
2011-03-26,46
2011-04-02,48
2011-04-09,50
2011-04-16,50
2011-04-23,46
2011-04-30,49
2011-05-07,51
2011-05-14,49
2011-05-21,42
2011-05-28,37
2011-06-04,36
2011-06-11,36
2011-06-18,34
2011-06-25,31
2011-07-02,31
2011-07-09,30
2011-07-16,33
2011-07-23,34
2011-07-30,32
2011-08-06,37
2011-08-13,37
2011-08-20,39
2011-08-27,44
2011-09-03,49
2011-09-10,54
2011-09-17,57
2011-09-24,55
2011-10-01,54
2011-10-08,53
2011-10-15,57
2011-10-22,52
2011-10-29,51
2011-11-05,54
2011-11-12,51
2011-11-19,53
2011-11-26,38
2011-12-03,51
2011-12-10,52
2011-12-17,52
2011-12-24,31
2011-12-31,25
2012-01-07,37
2012-01-14,48
2012-01-21,46
2012-01-28,56
2012-02-04,52
2012-02-11,50
2012-02-18,48
2012-02-25,46
2012-03-03,49
2012-03-10,46
2012-03-17,42
2012-03-24,43
2012-03-31,44
2012-04-07,44
2012-04-14,44
2012-04-21,47
2012-04-28,49
2012-05-05,49
2012-05-12,48
2012-05-19,45
2012-05-26,38
2012-06-02,32
2012-06-09,34
2012-06-16,32
2012-06-23,28
2012-06-30,28
2012-07-07,25
2012-07-14,30
2012-07-21,28
2012-07-28,28
2012-08-04,27
2012-08-11,28
2012-08-18,34
2012-08-25,39
2012-09-01,49
2012-09-08,56
2012-09-15,56
2012-09-22,53
2012-09-29,54
2012-10-06,54
2012-10-13,50
2012-10-20,55
2012-10-27,53
2012-11-03,45
2012-11-10,51
2012-11-17,49
2012-11-24,34
2012-12-01,48
2012-12-08,50
2012-12-15,51
2012-12-22,35
2012-12-29,20
2013-01-05,26
2013-01-12,44
2013-01-19,47
2013-01-26,47
2013-02-02,52
2013-02-09,49
2013-02-16,47
2013-02-23,45
2013-03-02,48
2013-03-09,45
2013-03-16,41
2013-03-23,43
2013-03-30,40
2013-04-06,45
2013-04-13,48
2013-04-20,45
2013-04-27,48
2013-05-04,49
2013-05-11,45
2013-05-18,44
2013-05-25,36
2013-06-01,32
2013-06-08,32
2013-06-15,28
2013-06-22,25
2013-06-29,24
2013-07-06,22
2013-07-13,24
2013-07-20,24
2013-07-27,25
2013-08-03,25
2013-08-10,25
2013-08-17,29
2013-08-24,36
2013-08-31,46
2013-09-07,46
2013-09-14,52
2013-09-21,50
2013-09-28,50
2013-10-05,49
2013-10-12,51
2013-10-19,52
2013-10-26,50
2013-11-02,48
2013-11-09,47
2013-11-16,46
2013-11-23,49
2013-11-30,33
2013-12-07,48
2013-12-14,51
2013-12-21,40
2013-12-28,19
2014-01-04,23
